name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Steve Nash,PHO,PG,53,876,195,605,2,34,51.3,91.2,38.6,187,256,59,193,1771,34,0,1896.5
Raymond Felton,DEN,PG,53,875,191,473,11,94,41.5,86.7,32.3,150,241,81,171,2027,23,1,1852.7
Al Horford,ATL,PF,52,830,507,192,56,41,56.9,80.9,0,106,362,0,74,1806,26,0,1846.4
Tim Duncan,SA,C,55,754,511,161,116,36,49.1,71,0,132,311,0,96,1616,20,1,1816.7
Manu Ginobili,SA,SG,55,1036,215,275,21,95,43,87.2,35.7,285,200,117,129,1734,0,0,1809.5
Danny Granger,IND,SF,55,1143,309,152,46,61,43.2,83.6,38.1,245,278,114,150,1989,5,0,1805.8
Kevin Martin,HOU,SG,58,1355,184,141,12,58,44.2,88.7,40.7,446,258,131,128,1820,0,0,1799.3
Lamar Odom,LAL,PF,57,837,525,165,49,35,55.4,67.4,39.8,126,291,43,102,1873,22,0,1780.5
Rudy Gay,MEM,SF,52,1029,315,146,56,85,47.3,80.1,39.7,181,340,56,129,2066,2,0,1779
Paul Pierce,BOS,SF,55,1067,275,176,33,58,50.5,85,40.2,249,289,80,105,1900,4,1,1738
Brook Lopez,BKN,C,57,1105,335,80,83,36,47.4,79.7,0,279,413,0,129,1958,3,0,1736
Dorell Wright,GS,SF,57,939,318,176,45,79,42.8,78.1,39.4,121,202,138,103,2221,7,0,1729.6
Tony Parker,SA,PG,55,937,176,369,2,68,51.5,77.3,31.8,167,364,14,140,1790,8,0,1701.7
Elton Brand,PHI,PF,55,833,468,78,62,62,52.4,78.3,0,159,337,0,79,1892,19,0,1680.6
Mike Conley,MEM,PG,59,798,184,379,14,100,44.8,73.2,37.4,134,245,58,136,2097,5,0,1679.3
Chris Bosh,MIA,PF,52,959,426,94,38,39,49,80.6,30,237,352,6,88,1863,16,0,1677.2
Stephen Jackson,CHA,SF,54,1032,249,202,23,72,41.9,80.2,34.5,207,264,99,171,1975,2,1,1652.8
Dirk Nowitzki,DAL,PF,47,1066,322,120,30,27,52.2,86.1,41.7,242,337,50,97,1605,10,0,1649.4
Andrew Bogut,MIL,C,47,605,539,92,136,29,48.7,41.4,0,75,265,0,84,1680,19,0,1635.8
Jrue Holiday,PHI,PG,56,772,218,363,23,82,44.3,80.7,36.8,121,240,57,153,1958,11,1,1635.1
Luol Deng,CHI,SF,55,971,337,140,32,46,45.5,74.1,34.1,177,280,78,107,2153,6,0,1634.4
Stephen Curry,GS,PG,49,908,170,286,12,84,48.7,93.2,42.1,150,244,90,140,1646,4,0,1593
Jason Kidd,DAL,PG,56,457,269,471,19,94,36.1,88.9,35.8,40,63,97,123,1866,8,1,1589.3
Marc Gasol,MEM,C,58,691,405,159,95,49,51.6,75.3,50,171,257,2,116,1927,8,0,1587.5
Andre Miller,POR,PG,53,701,211,387,7,84,45.3,85.9,11.1,170,261,3,136,1748,9,0,1580.7
Rajon Rondo,BOS,PG,44,474,196,536,7,106,50.7,56.5,32.3,48,198,10,173,1652,22,2,1566.2
David Lee,GS,PF,48,773,452,158,18,43,49,77.8,0,147,313,0,118,1724,25,0,1556.4
Andrea Bargnani,TOR,C,50,1079,275,82,40,31,45.5,81.6,32.7,199,356,56,121,1785,1,0,1553
