name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Deron Williams,UTA,PG,68,1322,195,725,20,73,47.1,84.9,31,326,393,70,228,2505,44,0,2601.5
Jason Kidd,DAL,PG,81,731,500,702,39,160,41.6,81.9,40.6,86,126,131,185,2885,19,3,2597
Danny Granger,IND,SF,67,1728,341,183,97,69,44.7,87.8,40.4,404,389,182,165,2424,6,0,2578.7
Rajon Rondo,BOS,PG,80,953,416,659,11,149,50.5,64.2,31.2,172,368,15,209,2642,15,2,2551.7
Tony Parker,SA,PG,72,1581,223,496,4,67,50.6,78.2,29.2,284,620,19,186,2455,15,0,2548.6
Devin Harris,BKN,PG,69,1470,231,476,13,114,43.8,82,29.1,496,391,64,212,2494,16,0,2503.2
Chauncey Billups,DEN,PG,79,1400,239,506,18,93,41.8,91.3,40.8,418,248,162,177,2788,10,0,2490.8
Derrick Rose,CHI,PG,81,1361,317,512,18,66,47.5,78.8,22.2,197,558,16,202,3000,8,0,2475.4
Raymond Felton,CHA,PG,82,1162,310,553,30,126,40.8,80.5,28.5,219,383,59,228,3086,7,0,2447.5
Ben Gordon,CHI,SG,82,1699,283,279,22,71,45.5,86.4,41,330,425,173,200,2998,0,0,2443.1
Shaquille O'Neal,PHO,C,75,1333,633,126,108,49,60.9,59.5,0,309,512,0,168,2252,30,0,2427.6
Troy Murphy,IND,PF,73,1041,861,172,34,58,47.5,82.6,45,152,203,161,114,2482,49,0,2402.2
Steve Nash,PHO,PG,74,1160,223,717,10,55,50.3,93.3,43.9,196,320,108,248,2484,29,0,2385.1
Emeka Okafor,CHA,C,82,1085,827,53,136,48,56.1,59.3,0,219,433,0,144,2691,39,0,2380.9
Carmelo Anthony,DEN,PF,66,1504,450,222,24,75,44.3,79.3,37.1,371,472,63,199,2277,12,0,2376
Russell Westbrook,OKC,PG,82,1256,399,435,16,110,39.8,81.5,27.1,349,401,35,274,2668,10,1,2365.3
Caron Butler,WAS,SF,67,1392,413,290,20,106,45.3,85.8,31,345,426,65,210,2584,10,0,2364.6
Rashard Lewis,ORL,PF,79,1401,453,205,51,81,43.9,83.6,39.7,225,258,220,158,2858,4,0,2358.1
Gerald Wallace,CHA,PF,71,1182,553,189,67,121,48,80.4,29.8,365,350,39,148,2669,20,0,2357.1
Richard Jefferson,MIL,SF,82,1607,374,199,14,66,43.9,80.5,39.7,417,421,116,165,2938,2,0,2349.3
Rudy Gay,MEM,SF,79,1493,437,135,59,98,45.3,76.7,35.1,264,487,85,203,2945,6,0,2330.9
Hedo Turkoglu,ORL,PF,77,1294,410,375,19,64,41.3,80.7,35.6,314,289,134,204,2814,4,0,2310.5
John Salmons,CHI,SF,79,1446,333,249,24,83,47.2,83,41.7,288,390,126,165,2959,3,0,2268.1
O.J. Mayo,MEM,SG,82,1516,308,262,13,91,43.8,87.9,38.4,247,417,145,226,3120,2,0,2260.6
Mo Williams,CLE,PG,81,1443,279,329,9,69,46.7,91.2,43.6,208,343,183,179,2834,1,0,2248.3
Nene Hilario,DEN,C,77,1123,598,108,101,95,60.4,72.3,20,266,427,1,147,2510,20,0,2247.6
Brook Lopez,BKN,C,82,1068,665,86,151,44,53.1,79.3,0,172,448,0,147,2501,18,0,2238
Al Harrington,NY,PF,73,1469,455,102,22,88,43.9,79.3,36.4,234,361,171,161,2546,10,0,2227
Tayshaun Prince,DET,SF,82,1163,476,253,51,44,45,77.8,39.7,189,403,56,101,3057,11,0,2202.7
