name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Zach Randolph,MEM,PF,79,1372,795,200,23,54,46.7,74.2,10,250,558,2,183,2705,47,0,2597
Goran Dragic,PHO,PG,76,1542,245,447,22,104,50.5,76,40.8,316,430,122,213,2668,7,0,2545.5
Greg Monroe,DET,C,82,1249,760,171,47,91,49.7,65.7,0,241,504,0,166,2689,35,0,2527.5
Tim Duncan,SA,C,74,1119,721,220,139,43,49,73.1,0,231,444,0,159,2158,30,0,2519.2
Kyrie Irving,CLE,PG,71,1478,259,433,23,108,43,86.1,35.8,291,409,123,190,2495,7,1,2510.3
Thaddeus Young,PHI,PF,79,1417,476,182,36,167,45.4,71.2,30.8,163,492,90,165,2717,11,0,2502.2
Josh Smith,DET,PF,77,1264,520,252,110,105,41.9,53.2,26.4,160,447,70,199,2730,12,0,2497
Nicolas Batum,POR,SG,82,1070,611,420,57,75,46.5,80.3,36.1,163,236,145,208,2956,16,2,2489.2
Michael Carter-Williams,PHI,PG,70,1167,437,441,43,130,40.5,70.3,26.4,258,372,55,247,2413,16,2,2451.9
Brandon Jennings,DET,PG,80,1241,244,609,8,101,37.3,75.1,33.7,241,269,154,215,2728,18,0,2450.3
Ricky Rubio,MIN,PG,82,781,342,703,11,190,38.1,80.2,33.1,227,211,44,222,2637,15,2,2425.9
Gordon Hayward,UTA,SF,77,1248,391,400,40,110,41.3,81.6,30.4,311,341,85,212,2799,9,0,2405.2
Kemba Walker,CHA,PG,73,1289,306,447,32,86,39.3,83.7,33.3,282,340,109,169,2613,9,1,2393.7
Marcin Gortat,WAS,C,81,1068,767,138,121,41,54.2,68.6,100,157,454,1,126,2655,37,0,2393.4
Isaiah Thomas,SAC,PG,72,1465,210,454,8,93,45.3,85,34.9,346,369,127,213,2497,7,1,2387
Rudy Gay,SAC,SF,73,1457,437,209,56,95,45.5,82.2,33,318,472,65,224,2530,11,0,2372.9
Jeff Teague,ATL,PG,79,1304,208,528,17,89,43.8,84.6,32.9,318,382,74,232,2541,13,0,2325.6
Spencer Hawes,CLE,PF,80,1053,660,240,94,44,45.6,78.3,41.6,119,275,128,173,2469,25,0,2308
Mike Conley,MEM,PG,73,1256,213,441,13,110,45,81.5,36.1,225,358,105,150,2445,5,0,2269.1
Chandler Parsons,HOU,SF,74,1226,409,298,29,88,47.2,74.2,37,164,336,130,144,2782,7,0,2253.8
David Lee,GS,PF,69,1257,643,147,26,48,52.3,78,0,231,513,0,152,2288,34,0,2245.1
David West,IND,PF,80,1118,542,223,74,61,48.8,78.9,26.7,198,454,4,133,2472,8,0,2239.9
Chris Bosh,MIA,PF,79,1281,522,87,78,80,51.6,82,33.9,223,418,74,125,2531,6,0,2228.9
Kenneth Faried,DEN,PF,80,1096,684,96,69,70,54.5,65,0,202,447,0,135,2178,27,0,2203.8
Lance Stephenson,IND,SG,78,1080,558,359,7,54,49.1,71.1,35.2,140,341,86,210,2752,20,5,2200.1
