name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
D'Angelo Russell,BKN,PG,81,1712,315,563,20,100,43.4,78,36.9,160,425,234,253,2448,14,0,2921.5
Anthony Davis,NO,PF,56,1452,672,218,135,88,51.7,79.4,33.1,344,482,48,112,1849,37,0,2919.4
Stephen Curry,GS,PG,69,1881,369,361,25,92,47.2,91.6,43.7,263,278,354,192,2331,3,0,2907.3
Luka Doncic,DAL,PG,72,1526,563,429,25,77,42.7,71.3,32.7,346,338,168,247,2317,24,8,2802.1
Kyrie Irving,BOS,PG,67,1596,335,464,34,103,48.7,87.3,40.1,214,430,174,172,2214,21,1,2796
Tobias Harris,PHI,SF,82,1644,645,229,37,51,48.7,86.6,39.7,266,455,156,151,2847,15,0,2786.5
De'Aaron Fox,SAC,PG,81,1399,304,590,45,133,45.8,72.7,37.1,303,419,86,227,2545,16,1,2777.8
LeBron James,LAL,SF,55,1505,465,454,33,72,51,66.5,33.9,278,447,111,197,1937,32,8,2757
Trae Young,ATL,PG,81,1549,301,653,15,72,41.8,82.9,32.4,343,369,156,308,2503,30,1,2755.7
Donovan Mitchell,UTA,SG,77,1829,316,322,31,106,43.2,80.6,36.2,319,473,188,218,2598,1,0,2747.2
Jrue Holiday,NO,PG,67,1420,334,518,54,109,47.2,76.8,32.5,208,429,118,210,2402,18,0,2713.8
Julius Randle,NO,PF,73,1565,634,229,45,52,52.4,73.1,34.4,356,504,67,208,2231,31,1,2655.3
Kawhi Leonard,TOR,SF,60,1596,439,199,24,106,49.6,85.4,37.1,364,448,112,121,2040,14,0,2560.3
Jusuf Nurkic,POR,C,72,1125,748,233,103,71,50.8,77.3,10.3,282,417,3,168,1973,36,1,2552.1
Devin Booker,PHO,SG,64,1700,265,433,13,56,46.7,86.6,32.6,393,451,135,264,2242,12,0,2541.5
Mike Conley,MEM,PG,70,1478,239,449,22,94,43.8,84.5,36.4,343,335,155,130,2341,10,0,2540.3
Buddy Hield,SAC,SG,82,1695,412,205,33,58,45.8,88.6,42.7,171,345,278,146,2614,3,0,2532.9
Marc Gasol,TOR,C,79,1071,627,349,86,84,44.8,75.9,36.3,192,291,99,155,2436,19,1,2531.9
Pascal Siakam,TOR,PF,80,1354,549,248,52,73,54.9,78.5,36.9,237,440,79,154,2547,18,0,2480.8
Montrezl Harrell,LAC,PF,82,1361,535,162,110,71,61.5,64.3,17.6,266,543,3,132,2158,17,0,2476
Clint Capela,HOU,C,67,1114,848,96,102,44,64.8,63.6,0,166,474,0,94,2248,45,0,2473.6
Klay Thompson,GS,SG,78,1680,299,186,47,84,46.7,81.6,40.2,129,414,241,115,2652,0,0,2464.8
Steven Adams,OKC,C,80,1108,760,124,76,117,59.5,50,0,146,481,0,135,2669,29,0,2457
Khris Middleton,MIL,SF,77,1407,461,331,7,80,44.1,83.7,37.8,216,327,179,174,2393,7,0,2456.7
Eric Bledsoe,MIL,PG,78,1241,362,430,29,116,48.4,75,32.9,177,346,124,165,2271,8,1,2445.4
Aaron Gordon,ORL,PF,78,1246,574,289,56,57,44.9,73.1,34.9,185,349,121,162,2632,19,0,2432.3
Deandre Ayton,PHO,C,71,1159,729,125,67,61,58.5,74.6,0,141,509,0,126,2182,39,0,2351.3
Lou Williams,LAC,SG,75,1498,222,402,11,57,42.5,87.6,36.1,425,379,105,181,1992,7,1,2322.4
Jamal Murray,DEN,PG,75,1367,317,363,27,67,43.7,84.8,36.7,189,361,152,158,2447,4,0,2321.9
Willie Cauley-Stein,SAC,C,81,965,678,194,51,96,55.6,55.1,50,140,411,1,84,2212,22,0,2279.6
Jimmy Butler,PHI,SG,65,1215,342,263,39,123,46.2,85.5,34.7,312,351,67,95,2184,3,0,2248.9
Jayson Tatum,BOS,SF,79,1243,477,168,57,84,45,85.5,37.3,195,350,116,122,2454,8,0,2227.4
