name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Draymond Green,GS,PF,79,921,647,291,99,123,44.3,66,33.7,132,228,111,133,2490,18,1,2444.9
Klay Thompson,GS,SG,77,1668,247,222,60,87,46.3,87.9,43.9,225,363,239,149,2454,1,0,2442.4
Kyle Lowry,TOR,PG,70,1244,328,473,13,109,41.2,80.8,33.8,252,298,132,173,2414,13,2,2418.1
Kevin Love,CLE,PF,75,1228,731,168,39,51,43.4,80.4,36.7,258,269,144,122,2531,38,0,2415.2
Al Horford,ATL,PF,76,1156,544,244,98,68,53.8,75.9,30.6,107,508,11,100,2318,14,1,2406.8
Monta Ellis,DAL,SG,80,1513,190,329,25,148,44.5,75.2,28.5,228,521,81,198,2699,3,0,2382.5
Derrick Favors,UTA,PF,74,1187,607,112,123,60,52.5,66.9,16.7,222,481,1,121,2279,23,0,2328.4
Rudy Gay,SAC,SF,68,1432,399,250,41,71,45.5,85.8,35.9,337,429,79,183,2408,2,0,2326.8
Jimmy Butler,CHI,SG,65,1301,379,212,36,114,46.2,83.4,37.8,386,348,73,93,2513,4,0,2280.8
Zach Randolph,MEM,PF,71,1143,747,153,14,69,48.7,76.5,35,228,447,7,156,2303,38,0,2278.9
Josh Smith,HOU,PF,83,1027,530,277,116,87,41.9,49.8,31.6,127,342,72,206,2300,15,0,2278.5
Markieff Morris,PHO,PF,82,1258,506,192,39,101,46.5,76.3,31.8,177,455,57,170,2580,12,0,2263.2
Jeff Teague,ATL,PG,73,1162,184,513,31,125,46,86.2,34.3,275,337,71,205,2227,10,0,2259.3
Greg Monroe,DET,C,69,1098,704,142,34,78,49.6,75,0,252,423,0,149,2137,35,0,2230.8
Marcin Gortat,WAS,C,82,1001,717,97,110,49,56.6,70.3,0,123,439,0,100,2452,22,0,2224.9
Brook Lopez,BKN,C,72,1236,535,50,126,43,51.3,81.4,10,223,505,1,104,2100,17,0,2187
Andrew Wiggins,MIN,SF,82,1387,374,170,50,86,43.7,76,31,354,458,39,177,2968,2,0,2185.8
Rudy Gobert,UTA,C,82,686,775,109,189,64,60.4,62.3,0,170,258,0,111,2158,25,0,2174.5
Victor Oladipo,ORL,SG,72,1292,302,295,19,120,43.6,81.9,33.9,262,389,84,204,2572,3,0,2170.9
Reggie Jackson,DET,PG,77,1117,327,462,9,62,43.4,83,29.9,181,360,72,186,2268,15,2,2158.4
Dirk Nowitzki,DAL,PF,77,1333,457,143,33,39,45.9,88.2,38,255,383,104,82,2281,6,0,2157.9
Kawhi Leonard,SA,SF,64,1057,461,161,48,148,47.9,80.2,34.9,202,327,67,97,2032,14,0,2146.7
Goran Dragic,MIA,PG,78,1275,274,350,15,78,50.1,77.4,34.7,181,412,90,173,2640,4,0,2141.8
Giannis Antetokounmpo,MIL,PF,81,1030,542,207,85,73,49.1,74.1,15.9,257,376,7,173,2540,10,0,2133.9
Trevor Ariza,HOU,SF,82,1048,459,209,17,152,40.2,85.3,35,122,172,194,141,2930,3,0,2109.3
Al Jefferson,CHA,C,65,1082,548,113,84,47,48.1,65.5,40,108,484,2,68,1991,22,0,2103.1
Tyson Chandler,DAL,C,75,771,864,84,91,42,66.6,72,0,185,293,0,105,2285,31,0,2094.8
